rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
144,Xu Hang,12.2,57.0,Medical devices,Hong Kong,Healthcare,Male,Hong Kong,no data,EMBA,no data,Self Made,Medical devices,,
145,John Doerr,12.0,72.0,Venture capital,United States,Technology,Male,United States,Married,Master of Business Administration,Harvard University,Self Made,Venture capital,,
146,Giorgio Armani,11.9,89.0,Luxury goods,Italy,Fashion & Retail,Male,Italy,Single,Drop Out,University of Piacenza,Self Made,Luxury goods,,
147,Shahid Khan,11.9,73.0,Auto parts,United States,Automotive,Male,United States,Married,Bachelor of Arts/Science,Urbana-Champaign,Self Made,Auto parts,,
148,Donald Newhouse,11.9,94.0,Media,United States,Media & Entertainment,Male,United States,Widowed,Drop Out,Syracuse University,no data,Media,,
149,Pavel Durov,11.5,38.0,Messaging app,United Arab Emirates,Technology,Male,United Arab Emirates,Single,Master of Science,Saint Petersburg State University,Self Made,Messaging app,,
150,Sarath Ratanavadi,11.4,58.0,energy,Thailand,Energy,Male,Thailand,Married,Bachelor of Science in Engineering,Chulalongkorn University,Self Made,energy,,
151,Michael Rubin,11.4,51.0,Online retail,United States,Fashion & Retail,Male,United States,Divorced,Drop Out,Villanova University,Self Made,Online retail,,
152,Christy Walton,11.4,74.0,Walmart,United States,Fashion & Retail,Female,United States,Widowed,High School Graduate,High School,no data,Walmart,,
153,Jeffery Hildebrand,11.4,64.0,Oil,United States,Energy,Male,United States,Married,Bachelor of Arts/Science,The University of Texas at Austin,Self Made,Oil,,
154,Viatcheslav Kantor,11.3,69.0,"Fertilizer, real estate",Russia,Manufacturing,Male,Russia,Married,Ph.D,Moscow Aviation University,Self Made,Fertilizer, real estate,
155,Mikhail Prokhorov,11.3,58.0,Investments,Russia,Finance & Investments,Male,Russia,Single,Master of Economics,Moscow Institute of Finance,Self Made,Investments,,
156,Israel Englander,11.3,74.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,New York University,Self Made,Hedge funds,,
157,David Cheriton,11.2,72.0,Google,Canada,Technology,Male,Canada,Divorced,Bachelor of Arts/Science,University of British Columbia,Self Made,Google,,
158,Anthony Pratt,11.1,63.0,Manufacturing,Australia,Manufacturing,Male,Australia,no data,Bachelor of Arts/Economics,Monash University,no data,Manufacturing,,
159,Zhang Zhidong,11.1,51.0,Internet media,China,Technology,Male,China,no data,Bachelor of Arts/Science,Shenzhen University,Self Made,Internet media,,
160,Nicolas Puech,11.0,80.0,Hermes,France,Fashion & Retail,Male,France,no data,no data,no data,no data,Hermes,,
161,Trudy Cathy White,10.9,67.0,Chick-fil-A,United States,Food & Beverage,Female,United States,Married,Bachelor of Arts/Science,Samford University,no data,Chick-fil-A,,
161,Dan Cathy,10.9,70.0,Chick-fil-A,United States,Food & Beverage,Male,United States,Married,Bachelor of Arts/Science,Georgia Southern University,no data,Chick-fil-A,,
161,Bubba Cathy,10.9,69.0,Chick-fil-A,United States,Food & Beverage,Male,United States,Married,Bachelor of Arts/Science,Samford University,no data,Chick-fil-A,,
164,Ravi Jaipuria,10.9,68.0,"Soft drinks, fast food",India,Food & Beverage,Male,India,Married,no data,no data,no data,Soft drinks, fast food,
165,Kushal Pal Singh,10.9,92.0,Real estate,India,Real Estate,Male,India,Widowed,Bachelor of Arts/Science,Delhi University,no data,Real estate,,
166,Aliko Dangote,10.8,66.0,"Cement, sugar",Nigeria,Manufacturing,Male,Nigeria,Divorced,Bachelor of Arts/Science,Al-Azhar University,Self Made,Cement, sugar,
167,Robert Kuok,10.8,99.0,"Palm oil, shipping, property",Malaysia,Diversified,Male,Malaysia,Married,Bachelor of Arts/Science,Raffles College,Self Made,Palm oil, shipping, property
168,Philip Anschutz,10.7,83.0,"Energy, sports, entertainment",United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,University of Kansas,no data,Energy, sports, entertainment
169,Barry Lam,10.6,74.0,Electronics,Taiwan,Technology,Male,Taiwan,Married,Bachelor of Arts/Science,National Taiwan University,Self Made,Electronics,,
170,Robert Kraft,10.6,82.0,"Manufacturing, New England Patriots",United States,Sports,Male,United States,"Widowed, Remarried",Bachelor of Arts/Science,Columbia University,Self Made,Manufacturing, New England Patriots,
171,Dang Yanbao,10.6,50.0,Coal,China,Metals & Mining,Male,China,no data,Master of Business Administration,Peking University,Self Made,Coal,,
172,Johann Rupert,10.6,73.0,Luxury goods,South Africa,Fashion & Retail,Male,South Africa,Married,no data,no data,no data,Luxury goods,,
173,Melinda French Gates,10.5,58.0,Microsoft,United States,Technology,Female,United States,Divorced,Bachelor of Arts/Science,Duke University,no data,Microsoft,,
174,Chris Xu,10.5,39.0,E-commerce,China,Fashion & Retail,Male,China,no data,Bachelor of Science,Qingdao University,Self Made,E-commerce,,
175,Suleiman Kerimov,10.5,57.0,Gold,Russia,Finance & Investments,Male,Russia,Married,Master of Economics,Dagestan State University,Self Made,Gold,,
176,Chen Bang,10.4,57.0,Hospitals,China,Healthcare,Male,China,Married,Master of Business Administration,Hunan University,Self Made,Hospitals,,
177,Carl Cook,10.4,60.0,Medical devices,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,Purdue University,no data,Medical devices,,
178,Andreas von Bechtolsheim,10.4,67.0,Google,Germany,Technology,Male,Germany,Single,Master of Science,Carnegie Mellon University,Self Made,Google,,
179,Anthony von Mandl,10.3,73.0,Alcoholic beverages,Canada,Food & Beverage,Male,Canada,no data,Bachelor of Arts/Science,University of British Columbia,Self Made,Alcoholic beverages,,
180,Pang Kang,10.3,67.0,Soy sauce ,China,Food & Beverage,Male,China,no data,no data,no data,Self Made,Soy sauce ,,
181,Andreas Struengmann,10.3,73.0,Pharmaceuticals,Germany,Healthcare,Male,Germany,Married,Medical Doctor,University at Buffalo,Self Made,Pharmaceuticals,,
181,Thomas Struengmann,10.3,73.0,Pharmaceuticals,Germany,Healthcare,Male,Germany,Married,Master of Business Administration,University of Augsburg,Self Made,Pharmaceuticals,,
183,Brian Chesky,10.2,41.0,Airbnb,United States,Technology,Male,United States,Single,Bachelor of Arts/Science,Rhode Island School of Design,Self Made,Airbnb,,
184,John Tu,10.2,82.0,Computer hardware,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Technische UniversitÃ¤t Darmstadt,Self Made,Computer hardware,,
